,Name,Style,ABV,Body,Astringency,Sour,Hoppy
177,DeuS (Brut Des Flandres),Bière de Champagne / Bière Brut,11.5,25,15,39,35
178,Nelson Sauvignon (Nelson Sauvin Brut),Bière de Champagne / Bière Brut,9.0,27,37,119,47
179,Malheur Bière Brut (Brut Reserve),Bière de Champagne / Bière Brut,12.0,45,29,65,35
180,Malheur Brut Noir (Black Chocolate),Bière de Champagne / Bière Brut,12.0,78,20,49,21
181,Krait Prestige,Bière de Champagne / Bière Brut,8.0,31,35,49,30
182,Eisenbahn Lust,Bière de Champagne / Bière Brut,11.5,48,21,65,20
183,Šamp - Pivní Sekt,Bière de Champagne / Bière Brut,5.0,12,10,22,16
184,Eisenbahn Lust Prestige,Bière de Champagne / Bière Brut,11.5,3,2,1,1
418,Sanctification,Brett Beer,4.8,33,29,133,16
419,Wild Devil,Brett Beer,6.7,42,31,133,104
420,Defenestration,Brett Beer,6.5,33,34,44,76
657,Sah'tea,Farmhouse Ale - Sahti,9.0,35,5,28,68
658,Arctic Circle Ale,Farmhouse Ale - Sahti,7.3,56,9,37,58
659,Lammin Kataja Olut,Farmhouse Ale - Sahti,7.0,46,16,59,33
660,Lammin Sahtia,Farmhouse Ale - Sahti,7.5,41,41,113,41
661,Finlandia Sahti,Farmhouse Ale - Sahti,8.0,18,7,20,17
662,Summer Sahti,Farmhouse Ale - Sahti,5.4,0,0,0,0
663,Malmgård Jouluolut,Farmhouse Ale - Sahti,4.5,0,0,0,0
664,Finlandia Strong Sahti,Farmhouse Ale - Sahti,10.0,0,0,2,0
665,Puhti IV B,Farmhouse Ale - Sahti,7.0,0,0,0,0
959,Heady Topper,IPA - New England,8.0,42,16,55,117
960,Abner,IPA - New England,8.2,30,25,79,88
961,Ephraim,IPA - New England,10.0,31,17,49,91
962,Fiddlehead IPA,IPA - New England,6.2,45,42,83,71
1301,Hoponius Union,Lager - India Pale Lager (IPL),6.5,25,30,52,106
1302,Kiwi Rising - Double IPL,Lager - India Pale Lager (IPL),8.5,45,15,66,88
1303,Fathom IPL,Lager - India Pale Lager (IPL),7.0,40,16,55,75
1304,Gulo Gulo I.P.L,Lager - India Pale Lager (IPL),7.1,28,26,45,124
1305,India Pale Lager,Lager - India Pale Lager (IPL),6.0,34,18,53,101
1306,Caesar Augustus (Lager/IPA Hybrid),Lager - India Pale Lager (IPL),4.1,12,39,22,74
1796,Pale Ale,Pale Ale - American,5.6,34,28,37,96
1797,Zombie Dust,Pale Ale - American,6.2,47,33,72,115
1798,Dale's Pale Ale,Pale Ale - American,6.5,29,9,21,58
1799,Alpha King,Pale Ale - American,6.66,25,14,41,78
1800,Pseudo Sue,Pale Ale - American,5.8,43,38,84,84
1801,Daisy Cutter Pale Ale,Pale Ale - American,5.2,42,28,54,124
1802,420 Extra Pale Ale,Pale Ale - American,5.4,25,12,37,69
1803,Mirror Pond Pale Ale,Pale Ale - American,5.0,27,19,40,88
1804,Peeper,Pale Ale - American,5.5,29,38,66,87
1805,Edward,Pale Ale - American,5.2,14,21,59,64
1806,Moon Man No Coast Pale Ale,Pale Ale - American,5.0,31,24,33,47
1807,Red Chair NWPA,Pale Ale - American,6.2,42,10,54,87
1808,Headwaters Pale Ale,Pale Ale - American,5.2,23,22,37,103
